"";"X";"speciesKey";"scientificName";"matchType";"Orig_name";"nRecords"
"1727";1727;1040737;"Aleochara sequoia Klimaszewski & Génier, 1987";"EXACT";"Aleochara sequoia Klimaszewski & Génier, 1987";1
"1728";1728;1040762;"Aleochara tristis Gravenhorst, 1806";"EXACT";"Aleochara tristis Gravenhorst, 1806";345
"1729";1729;1040781;"Aleochara verna Say, 1833";"EXACT";"Aleochara verna Say, 1833";341
"1730";1730;1040760;"Aleochara villosa Mannerheim, 1830";"EXACT";"Aleochara villosa Mannerheim, 1830";159
"1731";1731;1047440;"Algarobius bottimeri Kingsolver, 1972";"EXACT";"Algarobius bottimeri Kingsolver, 1972";323
"1732";1732;1047439;"Algarobius prosopis (J.L.LeConte, 1858)";"EXACT";"Algarobius prosopis (J.L.LeConte, 1858)";1712
"1733";1733;1075406;"Alissonotum pauper (Burmeister, 1847)";"EXACT";"Alissonotum pauper (Burmeister, 1847)";5
"1734";1734;6097340;"Allonyx quadrimaculatus (Schaller, 1783)";"EXACT";"Allonyx quadrimaculatus (Schaller, 1783)";246
"1735";1735;4463833;"Alocentron curvirostre (Gyllenhal, 1833)";"EXACT";"Alocentron curvirostre (Gyllenhal, 1833)";54
"1736";1736;1041855;"Aloconota cambrica (Wollaston, 1855)";"EXACT";"Aloconota cambrica (Wollaston, 1855)";915
"1737";1737;6097618;"Aloconota insecta (Thomson & C.G., 1856)";"EXACT";"Aloconota insecta (Thomson & C.G., 1856)";1084
