"";"speciesKey";"scientificName";"matchType";"Orig_name";"nRecords"
"19758";"2705642";"Paspalum floridanum Michx.";"EXACT";"Paspalum floridanum Michx.";0
"19759";"4110091";"Paspalum guenoarum Arechav.";"EXACT";"Paspalum guenoarum Arechav.";0
"19760";"2705660";"Paspalum hartwegianum E.Fourn. & E.Fourn.";"EXACT";"Paspalum hartwegianum E.Fourn. & E.Fourn.";0
"19761";"7547961";"Paspalum humboldtianum Fluegge";"EXACT";"Paspalum humboldtianum Fluegge";0
"19762";"2705609";"Paspalum intermedium Munro ex Morong";"EXACT";"Paspalum intermedium Munro ex Morong";0
"19763";"2705589";"Paspalum laeve Michx.";"EXACT";"Paspalum laeve Michx.";0
"19764";"2705634";"Paspalum laxum Lam.";"EXACT";"Paspalum laxum Lam.";0
"19765";"4108388";"Paspalum lepton Schult.";"EXACT";"Paspalum lepton Schult.";0
"19766";"4108254";"Paspalum lindenianum A.Rich.";"EXACT";"Paspalum lindenianum A.Rich.";0
"19767";"4108205";"Paspalum lineare Trin.";"EXACT";"Paspalum lineare Trin.";0
"19768";"2705627";"Paspalum macrophyllum Kunth";"EXACT";"Paspalum macrophyllum Kunth";0
"19769";"2705649";"Paspalum malacophyllum Trin.";"EXACT";"Paspalum malacophyllum Trin.";0
"19770";"4107554";"Paspalum mandiocanum Trin.";"EXACT";"Paspalum mandiocanum Trin.";0
"19771";"2705613";"Paspalum maritimum Trin.";"EXACT";"Paspalum maritimum Trin.";0
"19772";"8261882";"Paspalum millegrana Schrad. ex Schult.";"EXACT";"Paspalum millegrana Schrad. ex Schult.";0
"19773";"4107229";"Paspalum millegranum Schrad.";"EXACT";"Paspalum millegranum Schrad.";0
"19774";"2705619";"Paspalum minus E.Fourn. & E.Fourn.";"EXACT";"Paspalum minus E.Fourn. & E.Fourn.";0
"19775";"4107143";"Paspalum modestum Mez";"EXACT";"Paspalum modestum Mez";0
"19776";"2705621";"Paspalum notatum Fluegge";"EXACT";"Paspalum notatum Fluegge";0
"19777";"4106554";"Paspalum nutans Lam.";"EXACT";"Paspalum nutans Lam.";0
"19778";"2705587";"Paspalum paniculatum L.";"EXACT";"Paspalum paniculatum L.";0
"19779";"4105541";"Paspalum pilosum Lam.";"EXACT";"Paspalum pilosum Lam.";0
"19780";"2705605";"Paspalum pleostachyum Döll";"EXACT";"Paspalum pleostachyum Döll";0
"19781";"2705584";"Paspalum plicatulum Michx.";"EXACT";"Paspalum plicatulum Michx.";0
"19782";"2705567";"Paspalum praecox Walter";"EXACT";"Paspalum praecox Walter";0
"19783";"2705614";"Paspalum pubiflorum E.Fourn.";"EXACT";"Paspalum pubiflorum E.Fourn.";0
"19784";"4154990";"Paspalum quadrifarium Lam.";"EXACT";"Paspalum quadrifarium Lam.";0
"19785";"2705602";"Paspalum racemosum Lam.";"EXACT";"Paspalum racemosum Lam.";0
"19786";"4154741";"Paspalum regnellii Mez";"EXACT";"Paspalum regnellii Mez";0
"19787";"2705655";"Paspalum repens P.J.Bergius";"EXACT";"Paspalum repens P.J.Bergius";0
"19788";"4154259";"Paspalum saurae (Parodi) Parodi";"EXACT";"Paspalum saurae (Parodi) Parodi";0
"19789";"2705610";"Paspalum scrobiculatum L.";"EXACT";"Paspalum scrobiculatum L.";0
"19790";"2705541";"Paspalum setaceum Michx.";"EXACT";"Paspalum setaceum Michx.";0
"19791";"4153364";"Paspalum squamulatum E.Fourn. & E.Fourn.";"EXACT";"Paspalum squamulatum E.Fourn. & E.Fourn.";0
